Gene	KO01	KO02	KO03	WT01	WT02	WT03
TSPAN6!ENSG00000000003.14	0.474221962247943	0.460207994361824	0.494118281710955	0.451733633605842	0.451278138535946	0.451105790923229
TNMD!ENSG00000000005.5	0	0	0	0	0	0
DPM1!ENSG00000000419.12	11.3256779412618	11.1787222745823	10.9546514089688	11.3665678675336	11.3063153504317	11.2640776918553
SCYL3!ENSG00000000457.13	9.28191138996866	9.28530095604866	9.21356993265477	9.29767476152845	9.20463601432394	9.20771463188245
C1orf112!ENSG00000000460.16	10.5904427120562	10.5502599754959	10.3721097510912	10.5411263128949	10.5827703194516	10.535834606923
FGR!ENSG00000000938.12	9.94496966172012	10.0372376119741	10.0237811264318	10.2272086240495	10.1927039483494	10.308247792184
CFH!ENSG00000000971.15	0.23247549021286	0.233962055477909	0.246985635996082	0.225554376459151	0.233693917303071	0.241569060226634
FUCA2!ENSG00000001036.13	9.08525405096252	9.01445517211628	9.10467573891148	9.07360394533976	9.07168188065975	9.0896603218453
GCLC!ENSG00000001084.10	11.6055667762128	11.5474011375355	11.3898816570134	11.5423480506572	11.5067441010433	11.4218580489893
NFYA!ENSG00000001167.14	11.3538874937043	11.3241199736912	11.3111143483044	11.3683776723872	11.3415192007606	11.3505773254857
STPG1!ENSG00000001460.17	9.12829058601943	9.16589074435016	9.33399212602079	8.98782384092645	9.001948774346	9.09437435453913
NIPAL3!ENSG00000001461.16	11.8424574336919	11.7949626902475	11.7969784484978	11.6182767235687	11.703143733139	11.6088791195789
LAS1L!ENSG00000001497.16	12.1761384506721	12.1981107353978	12.1411374865792	12.1014067221678	12.0789170063624	12.202246363033
ENPP4!ENSG00000001561.6	10.4986538799813	10.3064857694176	10.0926989207949	10.4015117712688	10.3920845779682	10.1326488771283
SEMA3F!ENSG00000001617.11	5.67202288586032	5.71168935573435	5.77037756060623	5.6397113478771	5.79694412943252	5.70167851107167
CFTR!ENSG00000001626.14	-1.96534489891932	-1.96832167968622	-1.96785526225543	-1.96820208302409	-1.96836888236617	-1.96843330695362
ANKIB1!ENSG00000001629.9	11.4066699609621	11.3297598761686	11.3171515797749	11.386316874003	11.3689430990074	11.2452315673988
CYP51A1!ENSG00000001630.15	8.9735237854949	9.07072586247426	9.03505185410805	9.31352972786841	9.35907521215013	9.225684732394
KRIT1!ENSG00000001631.14	11.1249093300706	11.1136597359282	11.1055346994777	11.1006178921728	11.1056119702583	11.0473513206855
RAD52!ENSG00000002016.16	9.31373698876557	9.31948785447269	9.27014733485544	9.35800608283432	9.26976107748217	9.22675322126932
BAD!ENSG00000002330.13	9.74288489864774	9.83063854970887	9.88616841459968	9.75792468362209	9.83024501379761	9.94277547301778
LAP3!ENSG00000002549.12	11.6959873553938	11.6061082342183	11.5077059750323	11.6465897979713	11.6334465470164	11.6552891438601
CD99!ENSG00000002586.18	0	0	0	0	0	0
HS3ST1!ENSG00000002587.9	-0.346194445803829	-0.353386329796176	-0.352692435648169	-0.344348999431402	-0.353453550429746	-0.329503496189491
AOC1!ENSG00000002726.19	2.50069022023756	2.48554031979114	2.51804978867481	2.47128794477318	2.47610656464401	2.49834166110501
WNT16!ENSG00000002745.12	2.50811337516205	2.49851363370895	2.48833432670571	2.53545361353844	2.52189518699392	2.58083860678035
HECW1!ENSG00000002746.14	-0.953848033333408	-0.945038194108284	-0.952471190800503	-0.935676656289285	-0.953641717542777	-0.953703063856274
MAD1L1!ENSG00000002822.15	10.8001850083325	10.7568291524161	10.9175517272124	10.6279686842654	10.6031238341277	10.7773514997442
LASP1!ENSG00000002834.17	13.3089812821377	13.3047990422263	13.4564267066234	13.2130699239625	13.1752548242587	13.2991392418053
SNX11!ENSG00000002919.14	10.7508586134093	10.766026138378	10.6638746737939	10.8454655900245	10.8326326193315	10.7590110719094
TMEM176A!ENSG00000002933.7	-0.656025893162047	-0.654836243427588	-0.66263687891145	-0.663158273334192	-0.646812450472291	-0.663425793682542
M6PR!ENSG00000003056.7	12.3671423428268	12.3033367430402	12.2385481952894	12.3477008285848	12.3459192674324	12.3538964996598
KLHL13!ENSG00000003096.13	1.76737080894926	1.78871887892974	1.81982953035757	1.75569573607936	1.76251401274029	1.76166482342419
CYP26B1!ENSG00000003137.8	-1.48951467661296	-1.48899891719401	-1.48809955217996	-1.48876830605767	-1.48283422644581	-1.48295845254922
ICA1!ENSG00000003147.17	5.8866700106001	5.93489705465111	5.93885631354795	5.87416914796976	5.94567113383595	5.78792221200734
DBNDD1!ENSG00000003249.13	5.22913501715041	5.16238394348147	5.19203548478049	5.2000308620487	5.10902305564718	5.20270103471233
ALS2!ENSG00000003393.14	10.228991919265	10.1353586660074	10.1462561030314	10.2290844691553	10.2612276279784	10.2021251444405
CASP10!ENSG00000003400.14	7.15308051047706	7.14262096505345	7.1845977287385	7.22565531908677	7.20844516874595	7.21048595685375
CFLAR!ENSG00000003402.19	12.2926588121073	12.2984586290278	12.2873234912724	12.2374794638086	12.2633627854846	12.1040531390163
TFPI!ENSG00000003436.14	-0.578153575030846	-0.569139309517111	-0.566842822681335	-0.577661314042502	-0.577877973047601	-0.561429876993825
NDUFAF7!ENSG00000003509.15	9.70117440934348	9.63287896210746	9.57514997565404	9.75947759114508	9.75496863993796	9.67965964611029
RBM5!ENSG00000003756.16	11.6386723383678	11.6634501691884	11.5881083892101	11.6809969977621	11.6257085828043	11.6702068170378
MTMR7!ENSG00000003987.13	5.52050516413776	5.6053528576867	5.41302894319859	5.52592999637954	5.58463090131153	5.44332694775677
