Gene	KO01	KO02	KO03	WT01	WT02	WT03
TSPAN6!ENSG00000000003.14	6.68046500788424	6.58937901699475	6.7894830826289	6.43598955016671	6.43598955016671	6.43598955016671
TNMD!ENSG00000000005.5	6.43598955016671	6.43598955016671	6.43598955016671	6.43598955016671	6.43598955016671	6.43598955016671
DPM1!ENSG00000000419.12	11.4647432070455	11.2532285051005	10.9220414173529	11.5236955013611	11.437229599928	11.3765266403508
SCYL3!ENSG00000000457.13	9.63803551792146	9.64311611432597	9.54225078261986	9.66058317546169	9.53075401750755	9.53517371977722
C1orf112!ENSG00000000460.16	10.7722688463827	10.7153659862588	10.457322461185	10.7023694536804	10.7616144593361	10.6947680060134
FGR!ENSG00000000938.12	10.0723898087386	10.2030989473154	10.1822733350359	10.4724651768712	10.4234732727473	10.5853369393385
CFH!ENSG00000000971.15	6.57725002902306	6.58937901699475	6.68625904002561	6.43598955016671	6.58716545716451	6.64549266886008
FUCA2!ENSG00000001036.13	9.47009011205809	9.37167945259001	9.49801295630414	9.45406711067325	9.45139847989062	9.47626448853407
GCLC!ENSG00000001084.10	11.7334528851889	11.6500042186588	11.420320935903	11.6427662988011	11.5912339866858	11.4679470052772
NFYA!ENSG00000001167.14	11.451096683172	11.4080803531576	11.3890150483933	11.472095201174	11.4332597247728	11.4463403605883
STPG1!ENSG00000001460.17	9.50231041090327	9.55453549836609	9.79055146770325	9.30544985289158	9.32649361626214	9.4554286692303
NIPAL3!ENSG00000001461.16	11.9643460342327	11.8961910843554	11.8994456018502	11.6389518415022	11.7631287751343	11.625446732245
LAS1L!ENSG00000001497.16	12.2416454920068	12.2736289842188	12.1906685090424	12.1325543603612	12.0996108031125	12.2795947107827
ENPP4!ENSG00000001561.6	10.7577697865502	10.4874646038073	10.1773728226243	10.6223518663291	10.6086766104425	10.2391133031339
SEMA3F!ENSG00000001617.11	7.46224886581347	7.52702247991517	7.62928449030716	7.39950842371224	7.66398855754284	7.51058462149849
CFTR!ENSG00000001626.14	6.57725002902306	6.43598955016671	6.43598955016671	6.43598955016671	6.43598955016671	6.43598955016671
ANKIB1!ENSG00000001629.9	11.5266354080561	11.4158685036133	11.3974300686899	11.4975998751977	11.4724743881599	11.2931875260453
CYP51A1!ENSG00000001630.15	9.26139350645443	9.39535386644556	9.34153131011454	9.73286660773276	9.79427205530358	9.61063130243594
KRIT1!ENSG00000001631.14	11.2435905444906	11.2274908120128	11.2158362024164	11.2087057229908	11.2158961242566	11.1318202053265
RAD52!ENSG00000002016.16	9.65618408824475	9.66441722336739	9.59504114066992	9.7183378905264	9.59511812440635	9.53517371977722
BAD!ENSG00000002330.13	9.94837971804007	10.0718724562245	10.1509485756055	9.96866240551972	10.0713198780819	10.2292034223778
LAP3!ENSG00000002549.12	11.8039047564077	11.6740094270016	11.5296154790402	11.732751028631	11.7136789171464	11.7452772830886
CD99!ENSG00000002586.18	6.43598955016671	6.43598955016671	6.43598955016671	6.43598955016671	6.43598955016671	6.43598955016671
HS3ST1!ENSG00000002587.9	6.57725002902306	6.43598955016671	6.43598955016671	6.59513337241247	6.43598955016671	6.69246506367624
AOC1!ENSG00000002726.19	6.83442668762007	6.77833660474549	6.90274979363116	6.71135632452955	6.73792835475373	6.82707988471846
WNT16!ENSG00000002745.12	6.75135551147802	6.70141854070019	6.61306760531873	6.85577557857346	6.80545239221405	6.98740726726502
HECW1!ENSG00000002746.14	6.43598955016671	6.58937901699475	6.43598955016671	6.66093908602759	6.43598955016671	6.43598955016671
MAD1L1!ENSG00000002822.15	10.9582241003917	10.8964642769495	11.1266671499356	10.7105863868462	10.6750245229848	10.9257754917404
LASP1!ENSG00000002834.17	13.3410212000807	13.3349058204213	13.555750950607	13.1997864589939	13.1437745574078	13.326605434472
SNX11!ENSG00000002919.14	10.8762627925429	10.8979494989074	10.7495953442855	11.0117080118529	10.9931953944151	10.8879038751589
TMEM176A!ENSG00000002933.7	6.57725002902306	6.58937901699475	6.43598955016671	6.43598955016671	6.6496869814318	6.43598955016671
M6PR!ENSG00000003056.7	12.4333015925519	12.3403052584612	12.2448746909873	12.4050876509584	12.4024687825662	12.4140739456112
KLHL13!ENSG00000003096.13	6.68046500788424	6.77833660474549	6.90274979363116	6.59513337241247	6.6496869814318	6.64549266886008
CYP26B1!ENSG00000003137.8	6.43598955016671	6.43598955016671	6.43598955016671	6.43598955016671	6.58716545716451	6.58419564884627
ICA1!ENSG00000003147.17	7.587519447141	7.66405327140265	7.67526472263393	7.56604942462449	7.68040828344837	7.42229415152933
DBNDD1!ENSG00000003249.13	7.43496306848358	7.31706130161739	7.37359482956405	7.38719172293522	7.21247586217629	7.3907506572408
ALS2!ENSG00000003393.14	10.4328362592793	10.2998042843756	10.3145605163003	10.4332369088651	10.4786002987966	10.3948973381691
CASP10!ENSG00000003400.14	8.14884904257752	8.13272166283006	8.1923113507971	8.25096152983517	8.22605893167945	8.22873936304002
CFLAR!ENSG00000003402.19	12.3633576190506	12.3718550459635	12.3558251616134	12.2830589466524	12.320811807275	12.0870564607032
TFPI!ENSG00000003436.14	6.43598955016671	6.58937901699475	6.61306760531873	6.43598955016671	6.43598955016671	6.64549266886008
NDUFAF7!ENSG00000003509.15	9.97262053530313	9.87667539100044	9.79269790311475	10.054737695913	10.0480127831879	9.94256777360738
RBM5!ENSG00000003756.16	11.7110911424479	11.7470100497809	11.6371299247753	11.772459835942	11.6922518544544	11.7567680587791
MTMR7!ENSG00000003987.13	7.47115897080257	7.61155516395251	7.25599795050742	7.48109778560052	7.5775167980651	7.3353609664092
